Yr,Lg,Series, , ,Team,W, ,Team,W, ,Favorite,Underdog
2018,NBA,Western Conf First Round,"Apr 14 - Apr 24, 2018",,Golden State Warriors (2),,,San Antonio Spurs (7),,,GSW (-900),SAS (+600)
2018,NBA,Western Conf First Round,"Apr 14 - Apr 21, 2018",,New Orleans Pelicans (6),,,Portland Trail Blazers (3),,,POR (-220),NOP (+180)
2018,NBA,Western Conf First Round,"Apr 15 - Apr 27, 2018",,Utah Jazz (5),,,Oklahoma City Thunder (4),,,OKC (-140),UTA (+120)
2018,NBA,Western Conf Semifinals,"Apr 28 - May 8, 2018",,Golden State Warriors (2),,,New Orleans Pelicans (6),,,GSW (-1050),NOP (+675)
2018,NBA,Western Conf Semifinals,"Apr 29 - May 8, 2018",,Houston Rockets (1),,,Utah Jazz (5),,,HOU (-1500),UTA (+1000)
2018,NBA,Eastern Conf Semifinals,"Apr 30 - May 9, 2018",,Boston Celtics (2),,,Philadelphia 76ers (3),,,PHI (-525),BOS (+415)
2018,NBA,Eastern Conf Semifinals,"May 1 - May 7, 2018",,Cleveland Cavaliers (4),,,Toronto Raptors (1),,,TOR (-190),CLE (+165)
2018,NBA,Eastern Conf Finals,"May 13 - May 27, 2018",,Cleveland Cavaliers (4),,,Boston Celtics (2),,,CLE (-275),BOS (+235)
2018,NBA,Western Conf Finals,"May 14 - May 28, 2018",,Golden State Warriors (2),,,Houston Rockets (1),,,GSW (-200),HOU (+170)
2018,NBA,Finals,"May 31 - Jun 8, 2018",,Golden State Warriors (2),,,Cleveland Cavaliers (4),,,GSW (-1075),CLE (+688)
,,,,,,,,,,,,
2017,NBA,Eastern Conf First Round,"Apr 16 - Apr 28, 2017",,Boston Celtics (1),,,Chicago Bulls (8),,,BOS (-470),CHI (+375)
2017,NBA,Eastern Conf First Round,"Apr 15 - Apr 23, 2017",,Cleveland Cavaliers (2),,,Indiana Pacers (7),,,CLE (-1100),IND (+700)
2017,NBA,Eastern Conf First Round,"Apr 15 - Apr 27, 2017",,Toronto Raptors (3),,,Milwaukee Bucks (6),,,TOR (-440),MIL (+350)
2017,NBA,Eastern Conf First Round,"Apr 16 - Apr 28, 2017",,Washington Wizards (4),,,Atlanta Hawks (5),,,WAS (-220),ATL (+180)
