jump_id,jump_name,jump_team,jump_id_2,jump_name_2,jump_team_2,grab_id,grab_name,grab_team,period,at_time,game_id,WL,height,weight,height_2,weight_2,question,win_jb,lose_jb
203991,Clint Capela,HOU,203901,Elfrid Payton,NOP,1610612745,,,1,8:53,0021800009,L,208.0,109.0,190.0,88.0,True,False,False
101108,Chris Paul,HOU,203076,Anthony Davis,NOP,1610612740,,,3,5:50,0021800009,L,185.0,79.0,208.0,115.0,True,False,False
203076,Anthony Davis,NOP,203991,Clint Capela,HOU,202703,Nikola Mirotic,NOP,1,12:00,0021800009,W,208.0,115.0,208.0,109.0,False,True,False
203901,Elfrid Payton,NOP,203991,Clint Capela,HOU,1610612745,,,1,8:53,0021800009,W,190.0,88.0,208.0,109.0,True,False,False
203076,Anthony Davis,NOP,101108,Chris Paul,HOU,1610612740,,,3,5:50,0021800009,W,208.0,115.0,185.0,79.0,True,False,False
1627751,Jakob Poeltl,SAS,1626157,Karl-Anthony Towns,MIN,201959,Taj Gibson,MIN,1,11:56,0021800010,W,216.0,111.0,211.0,112.0,False,False,True
1626157,Karl-Anthony Towns,MIN,1627751,Jakob Poeltl,SAS,201959,Taj Gibson,MIN,1,11:56,0021800010,L,211.0,112.0,216.0,111.0,False,True,False
1627812,Yogi Ferrell,SAC,1628378,Donovan Mitchell,UTA,201937,Ricky Rubio,UTA,1,7:52,0021800011,L,183.0,81.0,185.0,98.0,False,False,True
1626161,Willie Cauley-Stein,SAC,204060,Joe Ingles,UTA,1628368,De'Aaron Fox,SAC,4,1:12,0021800011,L,213.0,109.0,201.0,100.0,False,True,False
1626161,Willie Cauley-Stein,SAC,203497,Rudy Gobert,UTA,202324,Derrick Favors,UTA,1,12:00,0021800011,L,213.0,109.0,216.0,117.0,False,False,True
1628378,Donovan Mitchell,UTA,1627812,Yogi Ferrell,SAC,201937,Ricky Rubio,UTA,1,7:52,0021800011,W,185.0,98.0,183.0,81.0,False,True,False
204060,Joe Ingles,UTA,1626161,Willie Cauley-Stein,SAC,1628368,De'Aaron Fox,SAC,4,1:12,0021800011,W,201.0,100.0,213.0,109.0,False,False,True
203497,Rudy Gobert,UTA,1626161,Willie Cauley-Stein,SAC,202324,Derrick Favors,UTA,1,12:00,0021800011,W,216.0,117.0,213.0,109.0,False,True,False
101162,Marcin Gortat,LAC,203999,Nikola Jokic,DEN,202699,Tobias Harris,LAC,1,12:00,0021800012,L,,,213.0,129.0,False,True,False
203999,Nikola Jokic,DEN,101162,Marcin Gortat,LAC,202699,Tobias Harris,LAC,1,12:00,0021800012,W,213.0,129.0,,,False,False,True
1629028,Deandre Ayton,PHX,201599,DeAndre Jordan,DAL,1628372,Dennis Smith Jr.,DAL,1,12:00,0021800013,W,211.0,113.0,211.0,120.0,False,False,True
201599,DeAndre Jordan,DAL,1629028,Deandre Ayton,PHX,1628372,Dennis Smith Jr.,DAL,1,12:00,0021800013,L,211.0,120.0,211.0,113.0,False,True,False
203954,Joel Embiid,PHI,1628976,Wendell Carter Jr.,CHI,1626166,Cameron Payne,CHI,1,12:00,0021800014,W,213.0,127.0,206.0,122.0,False,False,True
1627732,Ben Simmons,PHI,203953,Jabari Parker,CHI,203967,Dario Saric,PHI,2,6:30,0021800014,W,208.0,109.0,203.0,111.0,False,True,False
1628976,Wendell Carter Jr.,CHI,203954,Joel Embiid,PHI,1626166,Cameron Payne,CHI,1,12:00,0021800014,L,206.0,122.0,213.0,127.0,False,True,False
203953,Jabari Parker,CHI,1627732,Ben Simmons,PHI,203967,Dario Saric,PHI,2,6:30,0021800014,L,203.0,111.0,208.0,109.0,False,False,True
101133,Ian Mahinmi,WAS,202355,Hassan Whiteside,MIA,202693,Markieff Morris,WAS,1,12:00,0021800015,L,211.0,119.0,213.0,120.0,False,True,False
201160,Jason Smith,WAS,202355,Hassan Whiteside,MIA,1626196,Josh Richardson,MIA,3,9:40,0021800015,L,,,213.0,120.0,False,False,True
202693,Markieff Morris,WAS,202355,Hassan Whiteside,MIA,203585,Rodney McGruder,MIA,4,0:35,0021800015,L,203.0,111.0,213.0,120.0,False,False,True
202355,Hassan Whiteside,MIA,101133,Ian Mahinmi,WAS,202693,Markieff Morris,WAS,1,12:00,0021800015,W,213.0,120.0,211.0,119.0,False,False,True
202355,Hassan Whiteside,MIA,201160,Jason Smith,WAS,1626196,Josh Richardson,MIA,3,9:40,0021800015,W,213.0,120.0,,,False,True,False
202355,Hassan Whiteside,MIA,202693,Markieff Morris,WAS,203585,Rodney McGruder,MIA,4,0:35,0021800015,W,213.0,120.0,203.0,111.0,False,True,False
203994,Jusuf Nurkic,POR,201580,JaVale McGee,LAL,203081,Damian Lillard,POR,1,12:00,0021800016,W,213.0,132.0,213.0,122.0,False,True,False
201580,JaVale McGee,LAL,203994,Jusuf Nurkic,POR,203081,Damian Lillard,POR,1,12:00,0021800016,L,213.0,122.0,213.0,132.0,False,False,True
202696,Nikola Vucevic,ORL,203469,Cody Zeller,CHA,1628371,Jonathan Isaac,ORL,1,12:00,0021800017,L,211.0,118.0,213.0,109.0,False,True,False
1626170,Jerian Grant,ORL,2225,Tony Parker,CHA,1628964,Mo Bamba,ORL,2,8:53,0021800017,L,193.0,93.0,188.0,84.0,False,True,False
203469,Cody Zeller,CHA,202696,Nikola Vucevic,ORL,1628371,Jonathan Isaac,ORL,1,12:00,0021800017,W,213.0,109.0,211.0,118.0,False,False,True
2225,Tony Parker,CHA,1626170,Jerian Grant,ORL,1628964,Mo Bamba,ORL,2,8:53,0021800017,W,188.0,84.0,193.0,93.0,False,False,True
1628386,Jarrett Allen,BKN,202683,Enes Kanter,NYK,203501,Tim Hardaway Jr.,NYK,1,12:00,0021800018,W,211.0,110.0,208.0,113.0,False,False,True
202683,Enes Kanter,NYK,1628386,Jarrett Allen,BKN,203501,Tim Hardaway Jr.,NYK,1,12:00,0021800018,L,208.0,113.0,211.0,110.0,False,True,False
201586,Serge Ibaka,TOR,201143,Al Horford,BOS,202681,Kyrie Irving,BOS,1,12:00,0021800019,W,213.0,107.0,206.0,109.0,False,False,True
202685,Jonas Valanciunas,TOR,203935,Marcus Smart,BOS,1627832,Fred VanVleet,TOR,2,8:32,0021800019,W,211.0,120.0,190.0,100.0,False,True,False
201143,Al Horford,BOS,201586,Serge Ibaka,TOR,202681,Kyrie Irving,BOS,1,12:00,0021800019,L,206.0,109.0,213.0,107.0,False,True,False
203935,Marcus Smart,BOS,202685,Jonas Valanciunas,TOR,1627832,Fred VanVleet,TOR,2,8:32,0021800019,L,190.0,100.0,211.0,120.0,False,False,True
