video_id,channel_id,publish_date,collection_date
jqIgVGL98do,UCWJ2lWNubArHWmf3FIHbfcQ,2018-12-06 19:32:04.000000,2019-12-29 16:13:34.173277
vcsPWOQE_qk,UCWJ2lWNubArHWmf3FIHbfcQ,2018-12-07 07:00:49.000000,2019-12-29 16:13:34.171108
-kDTlCv11h8,UCWJ2lWNubArHWmf3FIHbfcQ,2018-12-11 02:47:59.000000,2019-12-29 16:13:34.171005
m4-EoZgpAnU,UCWJ2lWNubArHWmf3FIHbfcQ,2018-12-11 02:48:59.000000,2019-12-29 16:13:34.170903
JXPDwdXAVyo,UCWJ2lWNubArHWmf3FIHbfcQ,2018-12-11 02:49:10.000000,2019-12-29 16:13:34.170799
hLzQcytx9XA,UCWJ2lWNubArHWmf3FIHbfcQ,2018-12-11 02:51:04.000000,2019-12-29 16:13:34.174140
DO7bNJTbDcQ,UCWJ2lWNubArHWmf3FIHbfcQ,2018-12-11 02:51:04.000000,2019-12-29 16:13:34.173644
dLBnDs2C5mk,UCWJ2lWNubArHWmf3FIHbfcQ,2018-12-11 02:51:04.000000,2019-12-29 16:13:34.173806
VhWzXpB_9Ak,UCWJ2lWNubArHWmf3FIHbfcQ,2018-12-11 08:30:33.000000,2019-12-29 16:13:34.170688
LvNSRB4dv0E,UCWJ2lWNubArHWmf3FIHbfcQ,2018-12-12 06:33:43.000000,2019-12-29 16:13:34.170560
XBs-loPK9Zg,UCWJ2lWNubArHWmf3FIHbfcQ,2018-12-13 07:07:36.000000,2019-12-29 16:13:33.729473
ODNPuFCfXjw,UCWJ2lWNubArHWmf3FIHbfcQ,2018-12-14 07:06:41.000000,2019-12-29 16:13:33.729383
Ph2zrZqKMjQ,UCWJ2lWNubArHWmf3FIHbfcQ,2018-12-15 07:26:52.000000,2019-12-29 16:13:33.729292
3_iYL8yrPS8,UCWJ2lWNubArHWmf3FIHbfcQ,2018-12-16 05:54:17.000000,2019-12-29 16:13:33.729175
hwxsBzOnrs0,UCWJ2lWNubArHWmf3FIHbfcQ,2018-12-17 05:26:26.000000,2019-12-29 16:13:33.729084
yAEtPEYo8dQ,UCWJ2lWNubArHWmf3FIHbfcQ,2018-12-18 06:58:57.000000,2019-12-29 16:13:33.728995
QBrTqUSzMt8,UCWJ2lWNubArHWmf3FIHbfcQ,2018-12-19 05:58:57.000000,2019-12-29 16:13:33.728905
nMJkGwlaFUk,UCWJ2lWNubArHWmf3FIHbfcQ,2018-12-20 06:41:06.000000,2019-12-29 16:13:33.728815
ZDDUGYxEyhY,UCWJ2lWNubArHWmf3FIHbfcQ,2018-12-21 07:06:09.000000,2019-12-29 16:13:33.728724
o25wbtQXsbc,UCWJ2lWNubArHWmf3FIHbfcQ,2018-12-22 07:07:30.000000,2019-12-29 16:13:33.728633
_8oOkj9cOkM,UCWJ2lWNubArHWmf3FIHbfcQ,2018-12-23 06:20:16.000000,2019-12-29 16:13:33.728543
EeBxbN0KQc4,UCWJ2lWNubArHWmf3FIHbfcQ,2018-12-24 06:27:56.000000,2019-12-29 16:13:33.728452
VK9fD_Ot_rM,UCWJ2lWNubArHWmf3FIHbfcQ,2018-12-26 07:34:59.000000,2019-12-29 16:13:33.728358
TEWj_RG5SXw,UCWJ2lWNubArHWmf3FIHbfcQ,2018-12-27 07:41:38.000000,2019-12-29 16:13:33.728252
2nQ9CmLBmNI,UCWJ2lWNubArHWmf3FIHbfcQ,2018-12-28 08:30:12.000000,2019-12-29 16:13:33.728162
HiMKJhGPlGY,UCWJ2lWNubArHWmf3FIHbfcQ,2018-12-29 07:45:11.000000,2019-12-29 16:13:33.728071
GFZhUbCElgQ,UCWJ2lWNubArHWmf3FIHbfcQ,2018-12-30 07:49:54.000000,2019-12-29 16:13:33.727980
5ITekRoCEHo,UCWJ2lWNubArHWmf3FIHbfcQ,2018-12-31 06:30:12.000000,2019-12-29 16:13:33.727890
nIiOxdMN5Oo,UCWJ2lWNubArHWmf3FIHbfcQ,2019-01-01 06:05:52.000000,2019-12-29 16:13:33.727799
5u2f3odzsKg,UCWJ2lWNubArHWmf3FIHbfcQ,2019-01-02 07:20:56.000000,2019-12-29 16:13:33.727709
