playlist_name,playlist_id,playlist_publish_date,playlist_n_videos,channel_id,channel_name,collection_date
"NBA's Best Plays, Dunks, Crossovers, + More - October 2018",PLlVlyGVtvuVlDTL5HoV91OjHOn9YuiKZS,2018-11-05 20:49:18.000000,21,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:31.568892
NBA's Top Performances - 2018-19 Season,PLlVlyGVtvuVkBDG4LX-UFmjhUWX2d0qk2,2018-11-05 19:03:39.000000,218,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:31.568936
Nightly Top 5/10 Plays of the 2018-2019 NBA Season,PLlVlyGVtvuVmtiCXOKWbYLgqqY5oT5AY-,2018-10-29 18:54:16.000000,112,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:31.568981
Naismith Memorial Basketball Hall of Fame Class of 2018,PLlVlyGVtvuVl-AhQQv0mOlYKdBwbS9tdm,2018-09-07 15:44:03.000000,34,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:31.569032
Best of Manu Ginobili's Career,PLlVlyGVtvuVmdqpuSjkvg_QcuMpfylljK,2018-08-27 21:53:11.000000,28,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:31.569077
Official NBA Mixtapes 2017-2018,PLlVlyGVtvuVlJ1vFTtFz6dDs3KQIAg7gV,2018-08-14 01:37:20.000000,6,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:31.569121
"Top Plays, Dunks and More NBA Highlights!",PLlVlyGVtvuVnUjA4d6gHKCSrLAAm2n1e6,2018-08-13 23:28:36.000000,27,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:31.569166
Best of the 2018 NBA Season,PLlVlyGVtvuVnZCT0gfIFzVWvYderPFgIa,2018-07-23 17:19:33.000000,36,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:31.569210
Best of Teams From the 2018 NBA Season,PLlVlyGVtvuVkIYrxZ22CiMqFWqIRfU2zR,2018-07-23 17:16:42.000000,29,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:31.569255
Best of 2018 NBA Summer League,PLlVlyGVtvuVlZoaEwac50JioXV3PlHcXT,2018-07-06 14:17:35.000000,28,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:31.569300
Binge all episodes of Best Shot with YouTube Premium,PLlVlyGVtvuVnYpLKwy4Nz7QgTV69B54By,2018-07-02 22:02:26.000000,8,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:31.569345
Best Shot: Bonus Clips,PLlVlyGVtvuVmF6h4RSJ8c9PEYFR7_UIS0,2018-06-26 18:09:27.000000,8,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:31.569389
Binge all episodes of Best Shot with YouTube Premium,PLlVlyGVtvuVmKMsfsvR4bQm8KUd71l_ik,2018-06-20 09:53:55.000000,8,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:31.569433
Best of 2018 NBA Finals,PLlVlyGVtvuVmxb7FbnKdmly00nUmIDSnF,2018-06-01 22:13:29.000000,32,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:31.569477
Best of 2017-2018 Season,PLlVlyGVtvuVlH8UL2lxhTgA8fN8Yhicum,2018-04-14 20:14:01.000000,15,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:31.569521
Memorable All-Star Highlights Through The Years,PLlVlyGVtvuVnr9u3qZSsB-aSMnrWfc13N,2018-02-17 23:59:03.000000,29,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:31.569565
2018 NBA All-Stars,PLlVlyGVtvuVnf1j_990affiqul-bfEXOU,2018-01-18 23:27:53.000000,26,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:31.569615
NBA Top Plays of the Night,PLlVlyGVtvuVkUpgWlBV44heQGeVpxFvU4,2017-11-16 00:31:21.000000,522,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:31.569660
NBA Duels,PLlVlyGVtvuVnPxgz7P1pqsxfqaAUY2TH5,2017-11-16 00:21:21.000000,152,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:31.569704
Fantastic Finishes of the 2017-18 Season,PLlVlyGVtvuVmWQpwEgpY_Qh9587ePHgjP,2017-11-09 14:38:27.000000,69,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:31.569748
Every Dunk of the Night,PLlVlyGVtvuVnT5ExQTMGQ433BcdG7xoRb,2017-11-09 14:20:10.000000,80,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:31.569792
Top Performances from the 2017-18 Season,PLlVlyGVtvuVnYOTQ3vogBg0nTerTmhVok,2017-11-05 16:11:22.000000,255,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:31.569836
Around The Association,PLlVlyGVtvuVnu6R14uItRBLQLIW2xm5J7,2017-10-24 22:36:00.000000,505,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:31.569880
Best of Opening Week: 2017-2018 NBA Season,PLlVlyGVtvuVl_9v3c_crg4vnFU3mEdcl6,2017-10-18 01:41:04.000000,23,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:31.569924
Best of 2017 NBA Preseason,PLlVlyGVtvuVnrMFxgx0Vv9WyCjS7fKf8S,2017-10-06 05:27:50.000000,33,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:32.628786
Naismith Memorial Basketball Hall of Fame Class of 2017,PLlVlyGVtvuVmjbro8dzWSjz0YSSyv2MYp,2017-09-08 14:39:01.000000,35,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:32.628913
NBA AFRICA GAME,PLlVlyGVtvuVla8gjfX39YS9PCXxi-03zz,2017-08-05 01:24:29.000000,33,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:32.628981
Team Top Plays | 2016-2017 NBA Season,PLlVlyGVtvuVkOPqYQeArR3aVaJLXeBjqN,2017-08-03 16:06:10.000000,30,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:32.629043
Best Of 2016-2017 NBA Season,PLlVlyGVtvuVkAQCYdEgAPsW9EZu6gn00Q,2017-08-03 15:55:19.000000,38,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:32.629102
2017 Summer League,PLlVlyGVtvuVmdz6OHrZj7bpOnYyiODrn4,2017-07-07 16:56:52.000000,97,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:32.629159
Best Of 2017 NBA Draft,PLlVlyGVtvuVmx0eQUEDg5o88CyuEjYH3N,2017-06-25 15:13:28.000000,5,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:32.629215
2017 NBA Draft Live on June 22th @ 7pm on ESPN,PLlVlyGVtvuVktDllTwx2p0jaamVfKjMB5,2017-06-21 17:52:57.000000,10,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:32.629272
Best of the 2017 NBA Finals,PLlVlyGVtvuVlvtHVr4PsjhkI-VawHwlAm,2017-05-30 17:41:52.000000,37,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:32.629328
NBA Finals Mini Movies Cavs/Warriors,PLlVlyGVtvuVnScn380Yx6JTp_jzroj3B9,2017-05-26 03:31:00.000000,18,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,2019-12-29 16:07:32.629386
